Центральный фед.округ,3_4,"Количество преступлений, зарегистрированных в отчетном периоде",329954
Центральный фед.округ,3_4,"Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",106216
Центральный фед.округ,3_4,"Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",21288
Центральный фед.округ,3_4,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ,169607
Центральный фед.округ,3_4,"Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",51012
Центральный фед.округ,3_4,"Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",15680
Центральный фед.округ,3_4,"Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-31,44027824"
Центральный фед.округ,3_4,"Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","-12,50758089"
Центральный фед.округ,3_4,"Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-91,26984127"
Центральный фед.округ,3_4,"Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-98,37320574"
Центральный фед.округ,3_4,"Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-98,62244898"
Центральный фед.округ,3_4,Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%),"0,15469498"
Белгородская область,3_4,"Количество преступлений, зарегистрированных в отчетном периоде",12413
Белгородская область,3_4,"Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4299
Белгородская область,3_4,"Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",433
Белгородская область,3_4,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ,7134
Белгородская область,3_4,"Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",2245
Белгородская область,3_4,"Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",305
Белгородская область,3_4,"Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","234,3137255"
Белгородская область,3_4,"Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","63,68653422"
Белгородская область,3_4,"Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
Белгородская область,3_4,"Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
Белгородская область,3_4,"Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-80
Белгородская область,3_4,Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%),"0,149745433"
Брянская область,3_4,"Количество преступлений, зарегистрированных в отчетном периоде",10892
Брянская область,3_4,"Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",2753
Брянская область,3_4,"Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",753
Брянская область,3_4,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ,7646
